depcom,ncc,nccenr,depcom_pole
41076,ECOMAN,Écoman,41273
41111,LANTHENAY,Lanthenay,41194
41117,LONGPRE,Longpré,41199
41133,MEMBROLLES,Membrolles,41173
41162,NOUAN-SUR-LOIRE,Nouan-sur-Loire,41220
41165,OIGNY,Oigny,41248
41169,ORCHAISE,Orchaise,41142
41183,PRENOUVELLON,Prénouvellon,41173
41197,SAINT-AGIL,Saint-Agil,41248
41202,SAINT-AVIT,Saint-Avit,41248
41210,SAINTE-GEMMES,Sainte-Gemmes,41171
41227,SAINT-QUENTIN-LES-TROO,Saint-Quentin-lès-Troo,41149
41240,SEILLAC,Seillac,41055
41244,SEMERVILLE,Semerville,41173
41264,TRIPLEVILLE,Tripleville,41173
41270,VERDES,Verdes,41173
41272,VEUVES,Veuves,41167
42024,BOUTHEON,Bouthéon,42005
42057,CHAZEAU,Chazeau,42095
42080,LA CULA,La Cula,42225
42111,IZIEUX,Izieux,42207
42114,JEANSAGNIERE,Jeansagnière,42039
42144,MOINGT,Moingt,42147
42190,ROCHETAILLEE,Rochetaillée,42218
42244,SAINT-JULIEN-EN-JAREZ,Saint-Julien-en-Jarez,42207
42250,SAINT-JUST-SUR-LOIRE,Saint-Just-sur-Loire,42279
42258,SAINT-MARTIN-EN-COAILLEUX,Saint-Martin-en-Coailleux,42207
42263,SAINT-MAURICE-SUR-LOIRE,Saint-Maurice-sur-Loire,42239
42292,SAINT-VICTOR-SUR-LOIRE,Saint-Victor-sur-Loire,42218
42309,TERRENOIRE,Terrenoire,42218
43081,CROISANCES,Croisances,43245
43146,OURS-MONS,Ours-Mons,43157
43161,REILHAC,Reilhac,43132
43176,SAINT-DIDIER-D'ALLIER,Saint-Didier-d'Allier,43221
43179,SAINT-EBLE,Saint-Eble,43132
43209,SAINTE-MARIE-DES-CHAZES,Sainte-Marie-des-Chazes,43239
43235,LA SAUVETAT,La Sauvetat,43111
43243,TAULHAC-PRES-LE-PUY,Taulhac-près-le-Puy,43157
43248,VABRES,Vabres,43005
43255,VAZEILLES-PRES-SAUGUES,Vazeilles-près-Saugues,43090
43266,VISSAC,Vissac,43013
44004,ANETZ,Anetz,44163
44008,BARBECHAT,Barbechat,44029
44011,BELLIGNE,Belligné,44213
44017,BONNŒUVRE,Bonnœuvre,44180
44034,LA CHAPELLE-SAINT-SAUVEUR,La Chapelle-Saint-Sauveur,44213
44040,CHEMERE,Chéméré,44005
44042,LE CLION-SUR-MER,Le Clion-sur-Mer,44131
44059,FRESNAY-EN-RETZ,Fresnay-en-Retz,44021
