depcom,cp,ncc,nccenr,longitude,latitude
28108,28140,CORMAINVILLE,Cormainville,1.6058777929436197,48.13642810109596
28109,28240,LES CORVEES-LES-YYS,Les Corvées-les-Yys,1.1394527675898307,48.36129556598345
28110,28630,LE COUDRAY,Le Coudray,1.4956102990795086,48.42034300167987
28111,28330,COUDRAY-AU-PERCHE,Coudray-au-Perche,0.8557422836934444,48.23139096803224
28112,28400,COUDRECEAU,Coudreceau,0.9213169424571142,48.34506860264488
28113,28210,COULOMBS,Coulombs,1.5432561394415991,48.652165252991246
28114,28140,COURBEHAYE,Courbehaye,1.6079972758522996,48.158052257440126
28116,28190,COURVILLE-SUR-EURE,Courville-sur-Eure,1.2391414608439602,48.44920775449559
28117,28500,CRECY-COUVE,Crécy-Couvé,1.2806585397376287,48.66845865147272
28118,28210,CROISILLES,Croisilles,1.5028387069189788,48.688549065886065
28119,28480,LA CROIX-DU-PERCHE,La Croix-du-Perche,1.0481477772154002,48.274327204151575
28120,28270,CRUCEY-VILLAGES,Crucey-Villages,1.076988282201221,48.666246376670806
28121,28140,DAMBRON,Dambron,1.86989404926157,48.11315501139027
28122,28360,DAMMARIE,Dammarie,1.49379913768102,48.34203416164937
28123,28160,DAMPIERRE-SOUS-BROU,Dampierre-sous-Brou,1.1123531049090603,48.213268008067246
28124,28350,DAMPIERRE-SUR-AVRE,Dampierre-sur-Avre,1.1483103674585984,48.76184219658222
28126,28800,DANCY,Dancy,1.4616448140912395,48.14903512541685
28127,28160,DANGEAU,Dangeau,1.283552196788999,48.207779692964166
28128,28190,DANGERS,Dangers,1.3495501702063997,48.50838189240591
28129,28700,DENONVILLE,Denonville,1.8112240280771297,48.39153456616129
28130,28250,DIGNY,Digny,1.1522200106713594,48.53607085743376
28132,28200,DONNEMAIN-SAINT-MAMES,Donnemain-Saint-Mamès,1.3701061354925799,48.10820481011141
28134,28100,DREUX,Dreux,1.3654707901927192,48.73622479501718
28135,28230,DROUE-SUR-DROUETTE,Droue-sur-Drouette,1.7006723591682684,48.60090799454884
28136,28500,ECLUZELLES,Écluzelles,1.423410220886809,48.70911637729043
28137,28320,ECROSNES,Écrosnes,1.7278139093414888,48.54452281283664
28139,28120,EPEAUTROLLES,Épeautrolles,1.3247088392932893,48.310965632436215
28140,28230,EPERNON,Épernon,1.6733009266030103,48.610502153059024
28141,28120,ERMENONVILLE-LA-GRANDE,Ermenonville-la-Grande,1.3819473731597498,48.3360593077231
28142,28120,ERMENONVILLE-LA-PETITE,Ermenonville-la-Petite,1.3508367721146088,48.29513398660575
28143,28270,ESCORPAIN,Escorpain,1.2082128791569695,48.72137242818211
28144,28330,LES ETILLEUX,Les Étilleux,0.822012567070781,48.23257427091653
28146,28210,FAVEROLLES,Faverolles,1.5776177265527098,48.686765676094865
28147,28170,FAVIERES,Favières,1.2269754054022692,48.52911113855725
28148,28190,LE FAVRIL,Le Favril,1.1277057535435784,48.46369970843738
28149,28340,LA FERTE-VIDAME,La Ferté-Vidame,0.8998999022674437,48.61106842673931
28151,28270,FESSANVILLIERS-MATTANVILLIERS,Fessanvilliers-Mattanvilliers,1.0454089990337094,48.71161881024793
28153,28800,FLACEY,Flacey,1.3487485783536688,48.14660899446314
